	Anatomical_type	Index	VFB_id	centre	label	synonyms
0	FBbt_00004052	0		[258,485,110]	thoracico-abdominal ganglion on Adult VNS template, Court2018	['VNS', 'ventral nervious system']
1	FBbt_00110176	1		[257,656,109]	adult metathoracic neuromere on Adult VNS template, Court2018	['MetaNm', 'metathoracic neuromere ']
2	FBbt_00110175	2		[257,429,87]	adult mesothoracic neuromere on Adult VNS template, Court2018	['MesoNm', 'mesothoracic neuromere ']
3	FBbt_00110174	3		[258,176,113]	adult prothoracic neuromere on Adult VNS template, Court2018	['ProNm', 'prothoracic neuromere ']
4	FBbt_00004019	4		[243,73,154]	cervical connective on Adult VNS template, Court2018	['CvC', 'cervical connective']
5	FBbt_00110173	5		[253,819,121]	adult abdominal neuromere on Adult VNS template, Court2018	['AGC', 'abdominal ganglionic complex']
6	FBbt_00004099	6		[221,964,103]	abdominal nerve trunk on Adult VNS template, Court2018	['AbNT', 'abdominal nerve trunk']
7	FBbt_00004108	7		[225,945,117]	abdominal segment 4 nerve on Adult VNS template, Court2018	['AbN4', 'forth abdominal nerve']
8	FBbt_00004107	8		[258, 485, 110]	abdominal segment 3 nerve on Adult VNS template, Court2018	['AbN3', 'third abdominal nerve']
9	FBbt_00004106	9		[223,828,162]	abdominal segment 2 nerve on Adult VNS template, Court2018	['AbN2', 'second abdominal nerve']
10	FBbt_00004096	10		[279,853,52]	metathoracic leg nerve on Adult VNS template, Court2018	['MetaLN', 'metathoracic leg nerve']
11	FBbt_00004095	11		[258, 485, 110]	accessory metathoracic nerve on Adult VNS template, Court2018	['AbN1', 'first abdominal nerve']
12	FBbt_00004063	12		[266,529,40]	mesothoracic leg nerve on Adult VNS template, Court2018	['MesoLN', 'mesothoracic leg nerve']
13	FBbt_00004060	13		[238,310,135]	anterior dorsal mesothoracic nerve on Adult VNS template, Court2018	['ADMN', 'anterior dorsal mesothoracic nerve']
14	FBbt_00004055	14		[258, 485, 110]	dorsal prothoracic nerve on Adult VNS template, Court2018	['DProN', 'dorsal prothoracic nerve']
15	FBbt_00004056	15		[344,109,79]	accessory prothoracic nerve on Adult VNS template, Court2018	['ProAN', 'prothoracic accessory nerve']
16	FBbt_00007657	16		[226,138,55]	prothoracic leg nerve on Adult VNS template, Court2018	['ProLN', 'prothoracic leg nerve']
17	FBbt_00004061	17		[356,342,165]	posterior dorsal mesothoracic nerve on Adult VNS template, Court2018	['PDMN', 'posterior dorsal mesothoracic nerve']
18	FBbt_00004062	18		[258, 485, 110]	accessory mesothoracic nerve on Adult VNS template, Court2018	['MesoAN', 'mesothoracic accessory nerve']
19	FBbt_00004094	19		[221,576,164]	dorsal metathoracic nerve on Adult VNS template, Court2018	['DMetaN', 'dorsal metathoracic nerve']
20	FBbt_00004091	20		[258, 485, 110]	adult accessory mesothoracic neuromere on Adult VNS template, Court2018	['AMNp', 'accessory mesothoracic neuropil']
21	FBbt_00003625	23		[258, 485, 110]	adult brain cell body rind on Adult VNS template, Court2018	['C', 'cortex']
22	FBbt_00004057	29		[258, 485, 110]	ventral prothoracic nerve on Adult VNS template, Court2018	['VProN', 'ventral prothoracic nerve']
23	FBbt_00125004	30		[258, 485, 110]	tectulum on Adult VNS template, Court2018	['Tct', 'tectulum']
24	FBbt_00004020	40		[258, 485, 110]	giant fiber neuron on Adult VNS template, Court2018	['GF', 'giant fiber neuron']
25	FBbt_00004053	255		[258, 485, 110]	cervical nerve on Adult VNS template, Court2018	['CvN', 'cervical nerve']
